age,category,citizenship,company.name,company.type,country code,founded,from emerging,gdp,gender,industry,inherited,name,rank,region,relationship,sector,was founder,was political,wealth.type,worth in billions,year
-1,Financial,Saudi Arabia,Rolaco Trading and Contracting Company,new,SAU,1968,True,158000000000.0,male,Money Management,True,Abdul Aziz Al-Sulaiman,404,Middle East/North Africa,founder,construction,True,False,self-made finance,1.0,1996
34,Financial,United States,Fidelity Investments,new,USA,1946,True,8100000000000.0,female,Money Management,True,Abigail Johnson,145,North America,relation,investment banking,True,False,inherited,2.5,1996
59,Non-Traded Sectors,Brazil,Companhia Brasileira de Distribui?ao,new,BRA,1948,True,854000000000.0,male,"Retail, Restaurant",True,Abilio dos Santos Diniz,322,Latin America,relation,retail,True,False,inherited,1.2,1996
61,New Sectors,Germany,Ratiopharm,new,DEU,1881,True,2500000000000.0,male,Technology-Medical,True,Adolf Merckle,388,Europe,relation,pharmaceuticals,True,False,inherited,1.0,1996
-1,Financial,Hong Kong,Swire,new,HKG,1816,True,160000000000.0,male,Money Management,True,Adrian and John Swire,162,East Asia,relation,trading company,True,False,inherited,2.2,1996
-1,Traded Sectors,Bahrain,YBA Kanoo,new,BHR,1890,True,6100000000.0,male,Consumer,True,Ahmed Ali Kanoo,383,Middle East/North Africa,relation,shipping,True,True,inherited,1.0,1996
-1,New Sectors,Japan,Otsuka Holdings,new,JPN,1921,True,4710000000000.0,male,Technology-Medical,True,Akihiko Otsuka,164,East Asia,relation,pharmaceuticals,True,False,inherited,2.2,1996
-1,Traded Sectors,Japan,Sony,new,JPN,1946,True,4710000000000.0,male,Consumer,True,Akio Morita,156,East Asia,founder,technology,True,False,founder non-finance,2.3,1996
66,Financial,Japan,Mori Building,new,JPN,1959,True,4710000000000.0,male,Real Estate,True,Akira Mori,60,East Asia,relation,construction,True,False,inherited,3.9,1996
-1,Traded Sectors,France,Chanel,new,FRA,1909,True,1610000000000.0,male,Consumer,True,Alain Wertheimer,187,Europe,relation,luxury goods,True,False,inherited,2.0,1996
12,Financial,Germany,von Thurn and Taxis family,new,DEU,1615,True,2500000000000.0,male,Money Management,True,Albert von Thurn und Taxis,258,Europe,relation,"postal service, beverages",True,False,inherited,1.5,1996
63,Resource Related,Mexico,Penoles,privatization,MEX,1960,True,397000000000.0,male,Mining and metals,True,Alberto Bailleres Gonzalez,225,Latin America,relation,mining,True,False,inherited,1.8,1996
-1,Non-Traded Sectors,Mexico,Groupo IUSA,new,MEX,1939,True,397000000000.0,male,Media,True,Alejo Peralta,136,Latin America,relation,construction,True,False,inherited,2.5,1996
-1,Financial,Mexico,Pulsar International,new,MEX,1981,True,397000000000.0,male,Money Management,True,Alfonso Romo Garza,282,Latin America,founder,agriculture,True,False,self-made finance,1.4,1996
-1,Traded Sectors,Netherlands,Heineken International,new,NLD,1864,True,443000000000.0,female,Consumer,True,Alfred Heineken,122,Europe,relation,beer,True,False,inherited,2.6,1996
-1,0,United States,MBNA,subsidiary,USA,1982,True,8100000000000.0,male,Other,True,Alfred Lerner,294,North America,chairman,credit cards,True,False,executive,1.4,1996
-1,Financial,Germany,?Sal. Oppenheim,new,DEU,1789,True,2500000000000.0,male,Money Management,True,Alfred von Oppenheim,190,Europe,relation,banking,True,False,inherited,2.0,1996
47,Non-Traded Sectors,United States,Walmart, new,USA,1962,True,8100000000000.0,female,"Retail, Restaurant",True,Alice Walton,41,North America,relation,retail,True,False,inherited,4.7,1996
-1,Non-Traded Sectors,Spain,Construcciones y Contratas,aquired,ESP,1952,True,641000000000.0,female,Constrution,True,Alicia and Esther Koplowitz,405,Europe,relation,construction,True,False,inherited,1.0,1996
