automated readability index,average letter per word,average sentence length,average sentence per word,birth,characters,coleman liau index,dale chall readability score,day,death,difficult words,downloads,flesch kincaid grade,flesch reading ease,full,gunning fog,id,linsear write formula,month,month name,name,polarity,polysyllables,rank,sentences,smog index,subjectivity,syllables,title,total,type,url,words,year
10.7,4.83,18.0,0.05,1775,586794,10.73,5.7,1,1817,9032,36576,7.9,70.13,"June, 1998",9.200000000000001,1342,13.5,6,June,"Austen, Jane",0.13671337760500446,4603,1,6511,3.1,0.5222391494704692,170648.1,Pride and Prejudice,8,Text,https://www.gutenberg.org/ebooks/1342,121533,1998
7.2,4.41,15.0,0.06,1860,26769,8.0,6.24,1,1935,714,26363,5.6,81.63,"November, 1999",8.0,1952,5.5,11,November,"Gilman, Charlotte Perkins",0.054174293365012734,102,2,385,3.1,0.5347874264082076,7686.9,The Yellow Wallpaper,7,Text,https://www.gutenberg.org/ebooks/1952,6067,1999
9.3,4.65,17.0,0.06,1832,122719,9.39,5.93,1,1898,2425,18882,6.4,79.6,"March, 1994",8.8,11,14.0,3,March,"Carroll, Lewis",0.04107860874944599,339,3,1501,3.1,0.49727636711271855,33810.3,Alice's Adventures in Wonderland,8,Text,https://www.gutenberg.org/ebooks/11,26389,1994
12.6,4.77,23.0,0.04,1797,357604,10.68,6.44,17,1851,7884,17128,9.9,65.05,"June 17, 2008",11.200000000000001,84,7.0,6,June,"Shelley, Mary Wollstonecraft",0.10090153627465286,2604,4,3239,3.1,0.5395161487551757,106802.1,"Frankenstein; Or, The Modern Prometheus",7,Text,https://www.gutenberg.org/ebooks/84,74959,2008
13.8,4.56,27.0,0.04,1883,100372,9.46,6.37,16,1924,1947,15683,10.3,69.45,"August 16, 2005",12.8,5200,10.5,8,August,"Kafka, Franz",0.041996935670926445,397,5,800,3.1,0.47901921546913884,28752.3,Metamorphosis,8,Text,https://www.gutenberg.org/ebooks/5200,22022,2005
8.7,4.36,19.0,0.05,1835,485099,8.01,5.59,20,1910,7087,15347,6.0,86.03,"August 20, 2006",9.600000000000001,76,2.5,8,August,"Twain, Mark",0.08931925862018178,1180,6,5792,3.1,0.4745187951630081,132642.9,Adventures of Huckleberry Finn,8,Text,https://www.gutenberg.org/ebooks/76,111219,2006
7.0,4.94,10.0,0.1,1854,101906,9.89,5.96,29,1900,2387,13638,4.8,78.25,"August 29, 2006",6.0,844,3.0,8,August,"Wilde, Oscar",0.10026968514280647,555,7,1994,3.1,0.534784343060185,29187.0,The Importance of Being Earnest: A Trivial Comedy for Serious People,7,Text,https://www.gutenberg.org/ebooks/844,20625,2006
8.8,4.78,15.0,0.06,1835,338075,10.15,6.16,20,1910,7974,13237,5.6,81.63,"August 20, 2006",8.0,74,4.5,8,August,"Twain, Mark",0.06476107829562262,1488,8,4594,3.1,0.48704844378158596,92593.8,The Adventures of Tom Sawyer,8,Text,https://www.gutenberg.org/ebooks/74,70796,2006
10.5,4.68,19.0,0.05,1818,190493,9.86,6.48,10,1895,4894,12794,8.3,69.11,"January 10, 2006",9.600000000000001,23,7.0,1,January,"Douglass, Frederick",0.09387813584045827,1226,9,2062,3.1,0.5074296460875009,55913.4,"Narrative of the Life of Frederick Douglass, an American Slave",7,Text,https://www.gutenberg.org/ebooks/23,40740,2006
5.3,4.61,10.0,0.1,1828,121943,7.98,5.53,1,1906,2342,11625,3.7,86.71,"March, 2001",6.0,2542,4.0,3,March,"Ibsen, Henrik",0.026261727941188452,378,10,2624,3.1,0.5805215079924373,33722.1,A Doll's House : a play,7,Text,https://www.gutenberg.org/ebooks/2542,26466,2001
